date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:00:34	6630/6630	---MC-	200	added ('OK')	image/png,s	etag:\%2219e6-PPjbag5l3wEaV0BpIN40DsONX1s\%22	https://finquest.com/_ipx/f_png,s_512x205/https://finquest.com/wp-content/uploads/2023/09/DORC-BA.png	finquest.com/_ipx/f_png,s_512x205/https_/finquest.com/wp-content/uploads/2023/09/DORC-BA.png	(from https://finquest.com/)
17:00:34	6465/6465	---MC-	200	added ('OK')	image/png,s	etag:\%221941-9p+dv9PedSUvPvh+YwCEXtEJSfQ\%22	https://finquest.com/_ipx/f_png,s_512x205/https://finquest.com/wp-content/uploads/2023/09/ellis-BA.png	finquest.com/_ipx/f_png,s_512x205/https_/finquest.com/wp-content/uploads/2023/09/ellis-BA.png	(from https://finquest.com/)
17:00:34	5134/5134	---MC-	200	added ('OK')	image/png,s	etag:\%22140e-VyzL/md65rzuRDEC8YaURxgJI/M\%22	https://finquest.com/_ipx/f_png,s_512x205/https://finquest.com/wp-content/uploads/2023/09/eurazeo-BA.png	finquest.com/_ipx/f_png,s_512x205/https_/finquest.com/wp-content/uploads/2023/09/eurazeo-BA.png	(from https://finquest.com/)
17:00:34	5985/5985	---MC-	200	added ('OK')	image/png,s	etag:\%221761-EWFqz9pKt/uMWcQ1WVcXWARd/W0\%22	https://finquest.com/_ipx/f_png,s_512x205/https://finquest.com/wp-content/uploads/2023/09/euronext-BA.png	finquest.com/_ipx/f_png,s_512x205/https_/finquest.com/wp-content/uploads/2023/09/euronext-BA.png	(from https://finquest.com/)
17:00:34	3736/3736	---MC-	200	added ('OK')	image/png,s	etag:\%22e98-1nscYW+w1/4p8ytUOv/2DoS11Gs\%22	https://finquest.com/_ipx/f_png,s_512x205/https://finquest.com/wp-content/uploads/2023/09/flexpoint-ford-BA.png	finquest.com/_ipx/f_png,s_512x205/https_/finquest.com/wp-content/uploads/2023/09/flexpoint-ford-BA.png	(from https://finquest.com/)
17:00:35	5160/5160	---MC-	200	added ('OK')	image/png,s	etag:\%221428-dUz75t5QZnjWVCGbgzYi4hLTc5g\%22	https://finquest.com/_ipx/f_png,s_512x205/https://finquest.com/wp-content/uploads/2023/09/freyssinet-BA.png	finquest.com/_ipx/f_png,s_512x205/https_/finquest.com/wp-content/uploads/2023/09/freyssinet-BA.png	(from https://finquest.com/)
17:00:35	6726/6726	---MC-	200	added ('OK')	image/png,s	etag:\%221a46-KemdjpwXb5DdAYLwOCE+ILGf2LI\%22	https://finquest.com/_ipx/f_png,s_512x205/https://finquest.com/wp-content/uploads/2023/09/Graitec-BA.png	finquest.com/_ipx/f_png,s_512x205/https_/finquest.com/wp-content/uploads/2023/09/Graitec-BA.png	(from https://finquest.com/)
17:00:35	4497/4497	---MC-	200	added ('OK')	image/png,s	etag:\%221191-gOxoQbEEAFI2k6tn5Qm75/zOuFQ\%22	https://finquest.com/_ipx/f_png,s_512x205/https://finquest.com/wp-content/uploads/2023/09/heraeus-BA.png	finquest.com/_ipx/f_png,s_512x205/https_/finquest.com/wp-content/uploads/2023/09/heraeus-BA.png	(from https://finquest.com/)
17:00:35	4309/4309	---MC-	200	added ('OK')	image/png,s	etag:\%2210d5-XUDQIjj3EYeNPBgJx7Qjk5pVGDU\%22	https://finquest.com/_ipx/f_png,s_512x205/https://finquest.com/wp-content/uploads/2023/09/ik-partners-BA.png	finquest.com/_ipx/f_png,s_512x205/https_/finquest.com/wp-content/uploads/2023/09/ik-partners-BA.png	(from https://finquest.com/)
17:00:35	2808/2808	---MC-	200	added ('OK')	image/png,s	etag:\%22af8-HATe9hHQj6V7x3y7fG0CdyNwe5Q\%22	https://finquest.com/_ipx/f_png,s_512x205/https://finquest.com/wp-content/uploads/2023/09/kkr-BA.png	finquest.com/_ipx/f_png,s_512x205/https_/finquest.com/wp-content/uploads/2023/09/kkr-BA.png	(from https://finquest.com/)
